City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Hermanus,ZA,-34.42,19.23,60.01,82,0,13.0,clear sky
83,Kutum,SD,14.2,24.67,69.21,25,2,11.59,clear sky
84,Culebra,PR,18.3,-65.3,86.0,62,20,11.41,few clouds
85,Santa Maria,BR,-29.68,-53.81,86.0,42,0,9.17,clear sky
86,Dauphin,CA,51.15,-100.05,28.4,90,90,9.33,overcast clouds
87,San Carlos De Bariloche,AR,-41.15,-71.31,75.2,19,40,9.17,scattered clouds
88,Vanimo,PG,-2.67,141.3,75.72,93,100,5.64,light rain
89,Klaksvik,FO,62.23,-6.59,39.2,86,78,1.12,broken clouds
90,Avarua,CK,-21.21,-159.78,75.2,78,100,7.92,overcast clouds
91,Lebu,CL,-37.62,-73.65,56.68,61,0,22.19,clear sky
92,Emerald,AU,-23.53,148.17,69.8,88,90,10.29,overcast clouds
93,Faanui,PF,-16.48,-151.75,78.93,79,77,12.53,broken clouds
94,Iqaluit,CA,63.75,-68.51,10.4,72,90,9.17,overcast clouds
95,Olds,CA,51.78,-114.1,30.2,100,100,11.41,overcast clouds
96,Puerto Ayora,EC,-0.74,-90.35,77.0,69,40,19.46,scattered clouds
97,Ostrovnoy,RU,68.05,39.51,35.92,87,100,15.99,light rain
98,Mayumba,GA,-3.43,10.66,78.03,90,95,7.87,light rain
99,Raudeberg,NO,61.99,5.14,44.01,96,78,2.15,broken clouds
100,Magan,ES,39.97,-3.93,59.0,87,0,7.0,clear sky
101,Hilo,US,19.73,-155.09,78.8,78,90,5.82,overcast clouds
102,Santa Cruz,BO,-17.8,-63.17,100.4,29,0,14.99,smoke
103,Shizunai,JP,42.33,142.37,50.22,70,54,8.14,moderate rain
104,Kiunga,PG,-6.12,141.29,71.11,98,100,1.99,overcast clouds
105,Am Timan,TD,11.03,20.28,81.09,32,8,4.56,clear sky
106,Hasaki,JP,35.73,140.83,57.2,100,75,2.24,light rain
107,Bac Lieu,VN,9.29,105.72,78.4,87,84,8.43,broken clouds
108,Cidreira,BR,-30.18,-50.21,69.93,77,3,14.52,clear sky
109,Seondha,IN,26.16,78.78,67.35,26,0,1.48,clear sky
110,Maniitsoq,GL,65.42,-52.9,21.76,87,100,14.65,overcast clouds
111,Geraldton,AU,-28.77,114.6,68.0,77,90,8.05,overcast clouds
112,Airai,TL,-8.93,125.41,62.67,57,93,2.15,overcast clouds
113,Baoqing,CN,46.33,132.21,29.25,90,74,2.51,broken clouds
114,Rafiganj,IN,24.82,84.65,65.41,48,0,4.63,clear sky
115,Isangel,VU,-19.55,169.27,79.36,75,0,7.67,clear sky
116,Mar Del Plata,AR,-38.0,-57.56,66.2,88,40,5.82,scattered clouds
117,Santa Rita,BR,-7.11,-34.98,82.4,74,40,18.34,scattered clouds
118,Little Current,CA,45.98,-81.92,61.0,81,100,8.05,overcast clouds
119,Oytal,KZ,42.91,73.27,56.93,29,100,6.44,overcast clouds
120,Goya,AR,-29.14,-59.26,85.93,35,0,8.34,clear sky
121,Thai Nguyen,VN,21.59,105.84,73.4,56,0,6.93,clear sky
122,Tornio,FI,65.85,24.15,39.2,55,0,10.29,clear sky
123,Bereslavka,RU,48.63,44.04,41.74,86,75,15.66,broken clouds
124,Taga,RO,46.95,24.05,39.2,100,4,4.7,mist
125,Srednekolymsk,RU,67.45,153.68,-4.85,91,97,8.57,overcast clouds
126,Merced,US,37.17,-120.75,53.6,66,20,6.93,few clouds
