City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Chor,PK,76.23,clear sky,25.52,69.77,Asad U Bajeer Hotel
277,Safaga,EG,75.2,clear sky,26.73,33.94,Lamar Resort Abu Soma
285,Tiruchchirappalli,IN,80.6,mist,10.82,78.68,Sangam Hotel
287,El Triunfo,EC,84.2,broken clouds,-1.93,-79.97,Sector La Seca
289,San Luis,AR,84.76,broken clouds,-33.3,-66.34,Huarpes Hotel
290,Santa Rosalia,MX,82.08,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
296,Mount Vernon,US,75.2,few clouds,40.91,-73.84,Ramada by Wyndham Bronx
303,Bandarbeyla,SO,76.48,broken clouds,9.49,50.81,REER XOOSHLE GROUP
305,Aquiraz,BR,84.2,few clouds,-3.9,-38.39,Hotel Laguna Blu
315,Kalabo,ZM,79.93,clear sky,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
316,Gigmoto,PH,79.11,overcast clouds,13.78,124.39,Cj's Travellers Inn
318,Sawakin,SD,82.99,light rain,19.11,37.33,فندق الدويم
319,Denpasar,ID,76.05,clear sky,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
323,Nazas,MX,80.85,clear sky,25.23,-104.13,Hotel Río Nazas
325,Palmer,US,77.0,scattered clouds,42.16,-72.33,Wedgewood Motel
328,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
332,Araouane,ML,85.59,clear sky,18.9,-3.53,
333,Trincomalee,LK,82.15,moderate rain,8.57,81.23,Welcombe Hotel
334,Kuala Terengganu,MY,78.8,heavy intensity rain,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
335,Tabou,CI,79.03,overcast clouds,4.42,-7.35,hotêl doufoulougou
336,Vaitape,PF,79.75,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
337,Bubaque,GW,85.19,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
338,Mecca,SA,77.74,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
355,Birnin Kebbi,NG,78.85,clear sky,12.45,4.2,Saffar Guest Inn Ltd
356,Sola,VU,81.37,light rain,-13.88,167.55,Ulkel Guest House
358,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
361,San Carlos,VE,86.04,broken clouds,9.66,-68.58,Hotel Paternopoli
362,Kingsville,US,81.0,few clouds,27.52,-97.86,Econo Lodge Kingsville
364,Hobe Sound,US,80.01,shower rain,27.06,-80.14,Floridays RV Park
368,Mindelo,CV,80.6,broken clouds,16.89,-24.98,Hotel Gaudi
373,Sao Joao Da Barra,BR,77.0,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
377,Sao Jose Da Coroa Grande,BR,79.12,few clouds,-8.9,-35.15,Crôa Mares Hotel
379,Yako,BF,79.79,few clouds,12.97,-2.27,Ecole de Sibega
381,Katherine,AU,77.0,clear sky,-14.47,132.27,Pine Tree Motel
